row_index,rho,p_value,p_adjusted,ensembl_gene_id,gene_symbol,gene_type
47200,-0.14276245339446714,0.068209546849876,0.4844683781756773,ENSG00000263002.8,ZNF234,protein_coding
3658,0.1426948255150761,0.06834169690165648,0.4847380941963435,ENSG00000109321.11,AREG,protein_coding
29571,-0.14269059877261417,0.06834996319867878,0.4847380941963435,ENSG00000230615.7,AL139220.2,lncRNA
9687,0.14268425865892126,0.06836236417105193,0.4847380941963435,ENSG00000153879.9,CEBPG,protein_coding
984,-0.14268214528769027,0.06836649823569456,0.4847380941963435,ENSG00000066735.14,KIF26A,protein_coding
2242,-0.14266523831784253,0.06839957808315299,0.4847380941963435,ENSG00000100280.16,AP1B1,protein_coding
4097,0.1426377644918399,0.0684533606362896,0.4847380941963435,ENSG00000112699.11,GMDS,protein_coding
55886,-0.14263353774937798,0.06846163793108226,0.4847380941963435,ENSG00000279926.1,AL138831.3,TEC
16291,-0.14262931100691603,0.06846991604092413,0.4847380941963435,ENSG00000186642.16,PDE2A,protein_coding
2665,0.14260606392337538,0.06851546021651923,0.4848636687481518,ENSG00000102362.15,SYTL4,protein_coding
5784,-0.14252998255906046,0.0686646863892923,0.4857225706166693,ENSG00000126012.12,KDM5C,protein_coding
56977,0.14248569867514888,0.06875166667507046,0.4861406373938376,ENSG00000283445.1,AL136985.3,lncRNA
4840,-0.14246658142213137,0.06878924357841631,0.486209177250444,ENSG00000118729.12,CASQ2,protein_coding
9493,0.14241374714135713,0.06889318168881713,0.48663617578658475,ENSG00000152127.9,MGAT5,protein_coding
45160,-0.14240750388641865,0.06890547215788712,0.48663617578658475,ENSG00000259436.1,AC010247.2,lncRNA
6613,-0.14238627331535453,0.06894728000566032,0.48673430018570807,ENSG00000132563.16,REEP2,protein_coding
4146,0.14235457274688998,0.06900974410078622,0.4869781092211289,ENSG00000113194.13,FAF2,protein_coding
12683,-0.14231441869350156,0.0690889313998618,0.48718086793434356,ENSG00000169855.20,ROBO1,protein_coding
4341,0.14230173846611574,0.06911395327331528,0.48718086793434356,ENSG00000114904.13,NEK4,protein_coding
6731,-0.1422975117236538,0.06912229553647795,0.48718086793434356,ENSG00000133169.6,BEX1,protein_coding
13850,-0.14227215126888215,0.06917236632543498,0.4873367885319636,ENSG00000175265.17,GOLGA8A,protein_coding
9916,-0.1422341105867247,0.0692475278465175,0.4874024325670874,ENSG00000155926.14,SLA,protein_coding
12022,0.14222777047303178,0.06926006122514516,0.4874024325670874,ENSG00000167110.18,GOLGA2,protein_coding
5533,-0.14221509024564596,0.06928513351988755,0.4874024325670874,ENSG00000124491.16,F13A1,protein_coding
14075,0.14221086350318404,0.0692934925924075,0.4874024325670874,ENSG00000176407.18,KCMF1,protein_coding
8861,-0.14215591585117882,0.06940223522633603,0.4879089444117514,ENSG00000146576.13,C7orf26,protein_coding
3921,-0.1421094216840975,0.06949435662818128,0.4879089444117514,ENSG00000111664.11,GNB3,protein_coding
3783,-0.14210519494163554,0.06950273623128442,0.4879089444117514,ENSG00000110455.14,ACCS,protein_coding
7276,0.14210308157040458,0.06950692634106029,0.4879089444117514,ENSG00000136448.13,NMT1,protein_coding
11064,0.1420946280854807,0.06952368883515234,0.4879089444117514,ENSG00000163608.15,NEPRO,protein_coding
29550,-0.14207560774440198,0.06956141647042721,0.4879089444117514,ENSG00000230590.11,FTX,lncRNA
13522,-0.14205447403209226,0.06960335559565119,0.4879089444117514,ENSG00000173482.17,PTPRM,protein_coding
20163,0.1420460205471684,0.06962013700357134,0.4879089444117514,ENSG00000205339.10,IPO7,protein_coding
14470,0.14203545369101353,0.06964111839128244,0.4879089444117514,ENSG00000178381.12,ZFAND2A,protein_coding
726,0.14203334031978257,0.06964531528593504,0.4879089444117514,ENSG00000054282.16,SDCCAG8,protein_coding
12911,0.14201220660747288,0.06968729554817515,0.48800697689700007,ENSG00000170854.18,RIOX2,protein_coding
8164,0.14188117759115276,0.06994803276090361,0.48942020126975805,ENSG00000141741.12,MIEN1,protein_coding
3115,0.14187272410622886,0.06996488171949652,0.48942020126975805,ENSG00000105479.16,CCDC114,protein_coding
15118,-0.14186849736376694,0.06997330743622796,0.48942020126975805,ENSG00000181896.12,ZNF101,protein_coding
6727,0.14184736365145723,0.07001544839644436,0.4895185941013634,ENSG00000133135.14,RNF128,protein_coding
20235,-0.14183045668160948,0.07004917601979958,0.48955810912114045,ENSG00000205643.11,CDPF1,protein_coding
3893,-0.14180096593059233,0.07010803857620465,0.4897731845566028,ENSG00000111404.7,RERGL,protein_coding
49825,-0.14175860205975652,0.07019266581833832,0.4901680071583361,ENSG00000268516.2,AC020915.2,lncRNA
16481,0.14174169508990875,0.07022646282537992,0.49020769907371886,ENSG00000187583.11,PLEKHN1,protein_coding
16657,-0.1417099945214442,0.07028986786720669,0.4904347562449262,ENSG00000188243.13,COMMD6,protein_coding
13540,-0.14169731429405838,0.07031524290946353,0.4904347562449262,ENSG00000173581.8,CCDC106,protein_coding
32772,-0.14163391315712928,0.07044222983146899,0.4906964241086596,ENSG00000235314.1,LINC00957,lncRNA
16372,-0.14163179978589832,0.07044646593669998,0.4906964241086596,ENSG00000186998.16,EMID1,protein_coding
15714,0.14162334630097445,0.07046341242799749,0.4906964241086596,ENSG00000184363.10,PKP3,protein_coding
8833,-0.14162123292974346,0.07046764956844973,0.4906964241086596,ENSG00000146374.14,RSPO3,protein_coding
43658,-0.14160221258866476,0.07050579315127156,0.4906964241086596,ENSG00000257242.8,LINC01619,lncRNA
56528,-0.1415875152910855,0.07053527874981903,0.4906964241086596,ENSG00000281912.1,LINC01144,lncRNA
17536,-0.14157473876266213,0.07056091905805884,0.4906964241086596,ENSG00000197816.16,CCDC180,protein_coding
4698,0.14156628527773826,0.07057788792019948,0.4906964241086596,ENSG00000117394.24,SLC2A1,protein_coding
54630,0.14148809054219239,0.07073500714750042,0.4915927937947249,ENSG00000278053.5,DDX52,protein_coding
23113,-0.14147118357234462,0.07076901621028527,0.49163320145766704,ENSG00000215305.10,VPS16,protein_coding
2175,-0.14141834929157038,0.07087538016410569,0.4918331440097688,ENSG00000100060.18,MFNG,protein_coding
3725,0.14141200917787747,0.07088815256100156,0.4918331440097688,ENSG00000109971.14,HSPA8,protein_coding
406,0.141376081866951,0.07096056479945662,0.4918331440097688,ENSG00000021355.13,SERPINB1,protein_coding
10422,0.1413697417532581,0.07097334966478012,0.4918331440097688,ENSG00000160124.9,CCDC58,protein_coding
2805,0.14136551501079614,0.0709818739477504,0.4918331440097688,ENSG00000103351.13,CLUAP1,protein_coding
15283,0.1413190208437148,0.07107569595827026,0.4918331440097688,ENSG00000182600.9,SNORC,protein_coding
3375,-0.1413126807300219,0.0710884976691162,0.4918331440097688,ENSG00000106952.7,TNFSF8,protein_coding
48495,0.1413086070081726,0.0710967241579159,0.4918331440097688,ENSG00000265982.1,AC103810.3,unprocessed_pseudogene
5115,-0.141306340616329,0.07110130125261917,0.4918331440097688,ENSG00000120915.14,EPHX2,protein_coding
14227,0.14130000050263608,0.07111410670896565,0.4918331440097688,ENSG00000177150.13,FAM210A,protein_coding
15559,-0.14130000050263608,0.07111410670896565,0.4918331440097688,ENSG00000183722.9,LHFPL6,protein_coding
2810,-0.14125984644924766,0.07119525143611065,0.4918331440097688,ENSG00000103365.15,GGA2,protein_coding
3340,0.14125773307801667,0.07119952429326595,0.4918331440097688,ENSG00000106628.11,POLD2,protein_coding
