row_index,rho,p_value,p_adjusted,ensembl_gene_id,gene_symbol,gene_type
17294,0.005002015062544354,0.9491581588687651,0.986460454873804,ENSG00000197056.11,ZMYM1,protein_coding
4909,0.004999965896193455,0.9491789592173357,0.986460454873804,ENSG00000119509.13,INVS,protein_coding
4592,0.004985621731737162,0.9493245626172955,0.9865529768375815,ENSG00000116668.13,SWT1,protein_coding
630,-0.0049610317355263745,0.9495741723435799,0.9865844925668574,ENSG00000047648.23,ARHGAP6,protein_coding
1034,-0.0049610317355263745,0.9495741723435799,0.9865844925668574,ENSG00000068120.15,COASY,protein_coding
32367,0.004954884236473678,0.9496365755421391,0.9865844925668574,ENSG00000234741.8,GAS5,lncRNA
9943,0.004948736737420981,0.949698979046737,0.9865844925668574,ENSG00000156136.10,DCK,protein_coding
20173,0.004946189790181232,0.9497248332978847,0.9865844925668574,ENSG00000205396.11,LINC00661,lncRNA
6749,-0.004944638404719183,0.9497405815529703,0.9865844925668574,ENSG00000133321.11,PLAAT4,protein_coding
10807,-0.004943617123188522,0.9497509486853971,0.9865844925668574,ENSG00000162723.10,SLAMF9,protein_coding
15112,0.004936441739315588,0.9498237869725361,0.9866013804396325,ENSG00000181852.18,RNF41,protein_coding
53664,0.004909802576753901,0.9500942083250256,0.9868234876437616,ENSG00000276115.1,AC026356.2,lncRNA
13314,-0.00489136007959581,0.9502814264452827,0.9869219750186686,ENSG00000172466.16,ZNF24,protein_coding
2039,0.004889310913244911,0.9503022286266815,0.9869219750186686,ENSG00000095713.14,CRTAC1,protein_coding
17462,0.004881114247841316,0.9503854376876967,0.986949608537929,ENSG00000197580.13,BCO2,protein_coding
9307,-0.00487291758243772,0.9504686472847114,0.9869772393225054,ENSG00000150556.17,LYPD6B,protein_coding
63,-0.004844229253525134,0.9507598850823139,0.9871093320443736,ENSG00000004838.14,ZMYND10,protein_coding
9012,0.0048421800871742355,0.9507806880319563,0.9871093320443736,ENSG00000147687.19,TATDN1,protein_coding
21774,0.004840130920823337,0.9508014910148324,0.9871093320443736,ENSG00000212123.4,PRR22,protein_coding
4611,0.004838081754472437,0.9508222940309284,0.9871093320443736,ENSG00000116741.8,RGS2,protein_coding
6792,-0.004815540924612549,0.9510511293964793,0.9872809973372005,ENSG00000133794.20,ARNTL,protein_coding
