Source Member,Gene Symbol
X81817_at,BCAP31
X82456_at,LASP1
X83492_at,FAS
X85116_rna1_s_at,STOM
X85785_rna1_at,ACKR1
X87838_at,CTNNB1
X91257_at,SARS1
X95404_at,CFL1
X95586_at,PSMB5
X98482_r_at,
X99688_at,PSD
Y00282_at,RPN2
Y00433_at,RHOA
Y00764_at,UQCRH
Y08614_at,XPO1
Y09616_at,CES2
Z12962_at,RPL41
Z19554_s_at,VIM
Z21507_at,EEF1D
Z23090_at,HSPB1
Z25749_rna1_at,RPS7
Z26491_s_at,COMT
Z26876_at,RPL38
Z28407_at,RPL8
Z35093_at,SURF1
Z37166_at,DDX39B
Z48501_s_at,PABPC1
Z48950_at,H3-3B
Z49148_s_at,RPL29
Z70759_at,MT-RNR1
